"4:3","4:3"
"16:9","16:9"
"Aspect Ratio","Aspect Ratio"
"Auto-play","Auto-play"
"Embed a Vimeo video","Embed a Vimeo video"
"Embed a Youtube video","Embed a Youtube video"
"Loop","Loop"
"No","No"
"The characters seen at the end of Youtube URLs like <code class=""nobr"">https://www.youtube.com/watch?v=<strong><em>XXXXXX</em></strong></code>","The characters seen at the end of Youtube URLs like <code class=""nobr"">https://www.youtube.com/watch?v=<strong><em>XXXXXX</em></strong></code>"
"The number seen in Vimeo URLs like <code class=""nobr"">https://vimeo.com/<strong><em>XXXXXX</em></strong></code>","The number seen in Vimeo URLs like <code class=""nobr"">https://vimeo.com/<strong><em>XXXXXX</em></strong></code>"
"Video Code","Video Code"
"Vimeo Video","Vimeo Video"
"Yes","Yes"
"Youtube Video","Youtube Video"
